formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
2	C11H19N3O5	[M + H]+	C11H20N3O5+	Carbohydrates	0.861	Nucleosides	0.597	Pyrimidine nucleosides	0.306	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.906	Glycosyl compounds	0.704	Glycosyl compounds	0.704	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Glycosyl compounds; Polyols; Amines; Primary amines; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	274.138	38	0.637	816974016911485482	816973400814350759	816973400810156454	92	
2	C11H22N4O2	[M + Na]+	C11H22N4NaO2+	Alkaloids	0.573	Small peptides	0.684	Dipeptides	0.316	Organic acids and derivatives	0.688	Carboxylic acids and derivatives	0.585					Carboxylic acids and derivatives	0.585	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.161	39	0.644	816974040839996742	816973400894042540	816973400894042539	96	
1	C10H22N2O4	[M + H]+	C10H23N2O4+	Amino acids and Peptides	0.927	Small peptides	0.932	Aminoacids	0.713	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.926	Amino acids and derivatives	0.925	Amino acids	0.943	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	235.164	39	0.646	816974034095553921	816973400986317233	816973400982122928	98	
4	C13H20N4S	[M + H]+	C13H21N4S+	Alkaloids	0.543	Histidine alkaloids	0.230	Imidazole alkaloids	0.231	Organoheterocyclic compounds	0.971	Diazines	0.549	Pyrimidines and pyrimidine derivatives	0.560			Pyrimidines and pyrimidine derivatives	0.560	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Thioethers; Diazines; Sulfenyl compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	265.147	39	0.649	816974018748591315	816973401091174838	816973401091174837	99	
1	C12H24N2O7	[M + H]+	C12H25N2O7+	Amino acids and Peptides	0.790	Aminosugars and aminoglycosides	0.707	Aminoacids	0.664	Organic acids and derivatives	0.968	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.957	Amino acids and derivatives	0.958	Alpha amino acids	0.895	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	309.164	39	0.652	816974017305750250	816973401175060923	816973401175060922	100	
2	C12H18N6O3	[M + H]+	C12H19N6O3+	Carbohydrates	0.966	Nucleosides	0.980	Purine nucleosides	0.983	Organic acids and derivatives	0.959	Carboxylic acids and derivatives	0.943	Amino acids, peptides, and analogues	0.941	Amino acids and derivatives	0.941	Alpha amino acids	0.833	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Alpha amino acids; Amines; Primary amines; 6-aminopurines; 6-alkylaminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	295.149	39	0.653	816974023416853105	816973401242169792	816973401237975487	101	
3	C15H7Cl7O4	[M + Na]+	C15H7Cl7NaO4+	Polyketides	0.724	Coumarins	0.187	Anthraquinones and anthrones	0.181	Benzenoids	0.977	Benzene and substituted derivatives	0.610	Benzoic acids and derivatives	0.488	Halobenzoic acids and derivatives	0.492	2-halobenzoic acids and derivatives	0.576	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinyl halides; 2-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	518.806	40	0.667	816974014701086314	816973401313472965	816973401313472964	114	
6	C13H20FN4O7PS	[M + K]+	C13H20FKN4O7PS+	Carbohydrates	0.959	Nucleosides	0.942	Purine nucleotides	0.103	Organic acids and derivatives	0.941	Carboxylic acids and derivatives	0.641	Amino acids, peptides, and analogues	0.668	Amino acids and derivatives	0.669	Amino acids and derivatives	0.669	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Alkyl fluorides; Monocarboxylic acids and derivatives; Diazines; Organofluorides; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	465.039	44	0.727	816974019126078847	816973402206859767	816973402206859766	226	
1	C5H12N2O4	[M + K]+	C5H12KN2O4+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.998	Amino acids and derivatives	0.998	Alpha amino acids	0.976	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.044	44	0.741	816974024339600218	816973402374631937	816973402374631936	235	
1	C10H19NO7	[M + H]+	C10H20NO7+	Carbohydrates	0.908	Aminosugars and aminoglycosides	0.907	Aminosugars	0.919	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.916	Monosaccharides	0.775	Monosaccharides	0.775	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Polyols; Amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.122	46	0.770	816974014650754627	816973403104440883	816973403104440882	270	
1	C8H8N6O5	[M + Na]+	C8H8N6NaO5+	Alkaloids	0.500	Small peptides	0.325	Purine alkaloids	0.337	Organic 1,3-dipolar compounds	0.986	Allyl-type 1,3-dipolar organic compounds	0.987	Organic nitro compounds	0.988	C-nitro compounds	0.984	Nitroaromatic compounds	0.975	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Organic nitro compounds; Organic oxoazanium compounds; Substituted imidazoles; N-substituted imidazoles; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	291.047	48	0.802	816974010351591191	816973403674866267	816973403674866266	301	
1	C5H12O11	[M + H]+	C5H13O11+	Carbohydrates	0.926	Saccharides	0.915	Monosaccharides	0.571	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.968	Monosaccharides	0.893	Monosaccharides	0.893	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Sugar alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	249.042	50	0.826	816974011135926316	816973403830055525	816973403830055524	306	
2	C5H5N5	[M + H]+	C5H6N5+	Alkaloids	0.996	Pseudoalkaloids (transamidation)	0.633	Purine alkaloids	0.608	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.977	Purines and purine derivatives	0.978	6-aminopurines	0.897	6-aminopurines	0.897	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	136.061	51	0.855	816974023005811218	816973403964273263	816973403960078958	287	
2	C11H22O11S2	[M + H]+	C11H23O11S2+	Carbohydrates	0.321	Amino acid glycosides	0.876	Glucosinolates	0.569	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.980	Monosaccharides	0.952	Hexoses	0.832	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Polyols; Sulfenyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	395.066	52	0.870	816974026457724387	816973404039770740	816973404039770739	317	
3	C14H20O11S	[M + H]+	C14H21O11S+	Shikimates and Phenylpropanoids	0.337	Amino acid glycosides	0.813	Glucosinolates	0.184	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.974	Monosaccharides	0.954	Hexoses	0.694	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; Benzene and substituted derivatives; Polyols; Benzenoids; Sulfenyl compounds; Sulfuric acid esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	397.076	52	0.872	816974060863609246	816973404123656825	816973404123656824	312	
2	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.983	Pseudoalkaloids (transamidation)	0.883	Purine alkaloids	0.962	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.881	Purines and purine derivatives	0.651			Purines and purine derivatives	0.651	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.056	53	0.877	816974014432650717	816973404274651779	816973404266263170	315	
2	C11H21NO7	[M + H]+	C11H22NO7+	Carbohydrates	0.537	Aminosugars and aminoglycosides	0.392	Aminosugars	0.600	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.960	Amino acids and derivatives	0.960	Alpha amino acids	0.842	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; C-glycosyl compounds; Dialkylamines; Polyols; Alpha amino acids; Amines; Secondary amines; Alkanolamines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	280.137	54	0.902	816974013270827947	816973404492755602	816973404484366993	325	
1	C10H22N2O5	[M + H]+	C10H23N2O5+	Amino acids and Peptides	0.958	Small peptides	0.954	Aminoacids	0.860	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.965	Amino acids and derivatives	0.965	Amino acids	0.963	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	251.159	54	0.903	816974021311311919	816973404606001815	816973404601807510	326	
1	C8H8N6O5	[M + Na]+	C8H8N6NaO5+	Alkaloids	0.571	Small peptides	0.318	Purine alkaloids	0.326	Organic 1,3-dipolar compounds	0.992	Allyl-type 1,3-dipolar organic compounds	0.993	Organic nitro compounds	0.994	C-nitro compounds	0.992	Nitroaromatic compounds	0.987	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Substituted imidazoles; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	291.047	54	0.908	816974011165286465	816973404681499292	816973404681499291	336	
8	C14H22N4O3S	[M + K]+	C14H22KN4O3S+	Amino acids and Peptides	0.467	Oligopeptides	0.174	Cyclamides	0.432	Organoheterocyclic compounds	0.958	Azoles	0.554					Azoles	0.554	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Thioethers; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	365.104	56	0.928	816974041062294941	816973404832494246	816973404832494245	338	
1	C5H4N4O	[M + H]+	C5H5N4O+	Alkaloids	0.949	Pseudoalkaloids (transamidation)	0.860	Purine alkaloids	0.958	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.944	Purines and purine derivatives	0.933	Purinones	0.899	6-oxopurines	0.786	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.045	57	0.952	816974042744211344	816973405092541109	816973405092541108	347	
