row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mots_18102024_Foodomics_CSF1_S46.mzML Peak area,Mots_18102024_Foodomics_CSF1_S47.mzML Peak area,Mots_18102024_Foodomics_CSF1_S48.mzML Peak area,Mots_18102024_Foodomics_CSF2_S49.mzML Peak area,Mots_18102024_Foodomics_CSF2_S50.mzML Peak area,Mots_18102024_Foodomics_CSF2_S51.mzML Peak area,
266,236.11160516722023,0.76728606,,,,20,,,,,,,926.5011,911.80145,921.2889,667.13055,664.146,659.5865,
269,453.0990200313317,0.76909167,,,,19,,,,,,,646.30133,642.2985,645.80927,613.1252,624.4963,531.7292,
270,266.1222073890439,0.7697222,,,,19,,,,,,,4145.5,4167.8823,4187.804,3266.0925,3286.3977,3272.748,
272,513.1199439874929,0.7709305,,,,19,,,,,,,1099.4884,1113.6313,1128.9393,1099.9825,1111.5405,1111.4043,
274,585.1409777486638,0.77335006,,,,19,,,,,,,788.51294,760.1797,740.776,774.2571,790.2867,779.61487,
276,213.06259129768827,0.7740528,,,,19,1,[M+K]+,,2,276;288,174.0995,336.78085,331.00778,336.62924,307.52863,289.78778,307.8144,
277,174.11122502679171,0.77653664,,,,19,,,,,,,0,3.9698925,3.7557368,526.6386,602.2152,542.1094,
288,175.1068417322457,0.7771139,,,,19,1,[M+H]+,,2,276;288,174.0995,670.0307,636.6577,662.5624,653.3574,665.3238,633.4135,
295,221.1849120821279,0.79126936,,,,5,,,,,,,404.97775,390.67245,392.473,272.2909,262.24567,260.44965,
296,118.08534854086427,0.7962361,,,,13,,,,,,,1558.0969,1505.0658,1573.651,1293.1432,1305.7354,1303.9705,
298,241.15351390745278,0.7968611,,,,,,,,,,,581.2187,570.0661,581.0692,489.4263,498.84424,488.01486,
299,268.9448399470593,0.8029639,,,,6,,,,,,,558.0303,562.95905,629.7357,261.54425,223.90915,288.4188,
301,291.0465691140975,0.8041611,,,,,,,,,,,734.34143,728.13617,203.9202,1187.4803,1186.3517,1254.9939,
304,138.05389145912838,0.82148886,,,,13,,,,,,,1651.016,1658.2435,1649.6622,1381.4417,1366.9431,1392.8724,
306,249.04202412871686,0.82612497,,,,,,,,,,,863.227,877.7406,866.83563,725.66327,768.5415,743.93396,
309,176.00979030205724,0.8418055,,,,6,,,,,,,590.6814,593.2019,581.1848,597.23956,600.19006,607.546,
287,136.06079628927125,0.85535,,,,13,,,,,,,2836.768,2765.1301,2842.8096,1759.7607,1777.0231,1820.1941,
317,395.065765229899,0.86963886,,,,15,,,,,,,529.3866,549.0596,593.27094,20.225391,59.771744,27.122356,
312,397.0761401536347,0.8717777,,,,,,,,,,,333.68695,313.005,397.09836,12.467194,5.232024,11.817727,
314,174.99364732515392,0.8761639,,,,,,,,,,,327.80875,270.36655,322.98444,510.59772,473.10443,504.5246,
315,152.05567743186938,0.87726116,,,,15,,,,,,,1484.4794,1496.7498,1088.5348,897.6413,884.40576,915.68506,
323,262.12727817859144,0.90137774,,,,9,,,,,,,509.2586,495.96677,476.1855,170.2142,176.15561,217.41096,
324,190.96376606346428,0.90203065,,,,,,,,,,,175.98466,198.61133,199.89178,357.78012,386.17236,360.74274,
325,280.1369716368209,0.9020222,,,,9,,,,,,,1999.9674,1927.593,1948.7156,1209.7063,1289.5785,1291.9081,
326,251.15895074896855,0.90245837,,,,,,,,,,,1648.143,1667.0485,1727.553,1119.6956,1351.0222,1307.5682,
336,291.04666980391653,0.91930276,,,,,,,,,,,1201.4858,1191.1985,1177.6091,419.8444,682.5439,385.89932,
337,330.05770533732976,0.9278805,,,,,,,,,,,676.9593,650.4802,666.44495,530.0364,533.6889,545.05536,
338,365.1037393154846,0.9282861,,,,,,,,,,,1731.3301,1636.005,1691.4528,368.963,473.95804,425.07602,
335,288.2017152388344,0.931575,,,,,,,,,,,417.98953,402.87103,363.40826,11.820793,9.305342,20.059374,
340,183.08447016089679,0.9399278,,,,,,,,,,,1354.7556,1285.7892,1250.1816,605.6569,555.87665,228.62148,
347,137.04483629037657,0.9517222,,,,22,,,,,,,947.9817,912.2625,927.03345,1008.7955,998.3344,1023.5659,
351,165.06054858768917,0.96033335,,,,22,,,,,,,948.5582,647.1573,903.42804,454.8472,479.15002,513.59924,
352,182.08012836585593,0.96279997,,,,22,,,,,,,4115.9756,3970.4333,4133.557,3469.261,3524.4744,3742.8533,
353,140.0332515149887,0.9646528,,,,12,,,,,,,613.35205,610.29034,640.66797,710.48724,691.3782,684.43536,
354,353.014812590739,0.9647,,,,,,,,,,,420.61572,432.97623,386.4722,261.63727,229.16266,231.28299,
356,124.03838438048899,0.9702,,,,,,,,,,,524.9361,503.7259,536.7958,384.99152,383.0816,392.68546,
346,231.05802497795196,0.98322225,,,,,,,,,,,296.49643,356.37717,287.62875,290.84454,275.89984,290.21927,
363,344.1327056399959,0.995425,,,,,,,,,,,1080.8038,1061.024,1084.0125,631.6534,643.61237,663.32587,
364,153.03968878169323,0.99568605,,,,,,,,,,,842.5115,850.42804,860.5619,1105.498,1087.2229,1089.6146,
367,293.04441655581275,0.9977889,,,,,,,,,,,274.95398,266.07358,246.95633,448.93384,432.4506,449.06268,
358,247.0503364433506,1.008575,,,,,,,,,,,903.7596,963.1293,748.5225,137.85179,147.64777,814.5488,
378,290.97855075739267,1.0169889,,,,24,,,,,,,275.22437,300.5786,286.5967,479.6258,495.03976,493.09833,
379,275.00644971336754,1.0172806,,,,24,,,,,,,463.89536,465.59467,455.029,713.34015,715.284,729.3076,
380,230.1848451815175,1.0173167,,,,24,,,,,,,1064.5822,1017.3236,1060.8474,437.43967,514.2166,536.11786,
374,497.19611022893156,1.0194249,,,,24,,,,,,,694.0833,624.35596,669.6494,3.7964191,11.03808,53.23514,
382,268.10282942034013,1.0277444,,,,,,,,,,,614.63257,607.4497,619.5449,275.00577,270.8962,342.72598,
383,213.12235512604363,1.0283861,,,,,,,,,,,418.10928,413.5172,417.15347,561.43335,522.4414,544.2424,
384,231.07597953112463,1.0443751,,,,,,,,,,,470.9204,458.36887,500.14777,219.45515,243.81104,228.60574,
385,474.21636467571057,1.0477389,,,,,,,,,,,427.1125,436.31107,424.0736,8.478972,3.3264956,3.0374374,
396,247.04894951812503,1.0521555,,,,,,,,,,,177.00978,74.21948,213.8832,782.6867,749.47925,213.76604,
387,380.0382531095508,1.0621861,,,,,,,,,,,340.15283,332.02155,331.01016,548.15564,562.4244,558.42615,
390,263.0120012319272,1.0664833,,,,,,,,,,,950.7486,971.5615,909.7232,1459.1708,1462.3373,1457.0754,
393,354.17435784395366,1.0729111,,,,,,,,,,,238.13779,283.14648,308.789,238.79288,219.90341,257.38837,
395,384.22120037019477,1.0804139,,,,,,,,,,,526.3771,510.01337,506.20602,67.72506,21.059908,48.891537,
404,136.06075223460684,1.1146333,,,,23,,,,,,,669.9643,591.9958,631.5884,29.467716,85.11934,18.929663,
401,252.10796540937642,1.1194612,,,,23,,,,,,,3214.9106,3229.0586,3202.5693,990.96387,944.3195,1006.82214,
402,253.112103863192,1.1199139,,,,23,,,,,,,436.93488,428.03452,423.16034,52.89772,17.674934,18.57734,
413,268.10286388963203,1.1265832,,,,,,,,,,,322.05182,292.11963,184.03067,26.154257,36.67605,24.1852,
405,456.20595195355895,1.135739,,,,,,,,,,,1260.8121,1231.8711,1220.3671,510.60498,498.5291,526.12036,
406,203.13733338434386,1.1446944,,,,,,,,,,,565.42004,565.75586,585.2242,428.7736,435.35535,436.8664,
408,276.14267827449197,1.1525694,,,,27,,,,,,,4215.6636,4080.2734,4098.2803,2252.9685,2201.9841,2243.6013,
409,294.15340056589235,1.1566278,,,,27,,,,,,,16264.955,16238.721,16255.896,9690.107,9614.092,9820.527,
410,353.0876040996405,1.1615583,,,,,,,,,,,511.12262,514.3636,511.1647,761.52325,773.099,772.2918,
411,308.1326615568379,1.1663972,,,,27,,,,,,,1349.1659,1337.5027,1319.2523,1398.9567,1394.7467,1418.1289,
412,352.08026325838347,1.1685472,,,,,,,,,,,387.45493,382.31006,384.8012,593.73663,597.6302,617.2667,
415,152.05573228583717,1.1709167,,,,,,,,,,,644.9421,583.05334,314.9624,9.697857,57.185066,32.63061,
414,229.1535678242183,1.1718501,,,,27,,,,,,,2684.5027,2692.4768,2630.2202,2242.0771,2153.1506,2223.9604,
418,264.14294784848806,1.1836139,,,,,,,,,,,1376.913,1385.4398,1361.0281,693.9487,665.5512,650.839,
419,127.0492982435146,1.1860278,,,,,,,,,,,361.06802,334.9532,329.47235,293.92532,284.69077,293.51102,
420,245.0620559267819,1.1899694,,,,,,,,,,,876.5795,870.9232,872.73584,1292.2562,1251.3119,1284.3063,
426,221.09071857549532,1.1951778,,,,,,,,,,,72.37303,16.048206,33.15073,115.56112,55.260387,63.979713,
423,281.0668355769174,1.1975306,,,,25,,,,,,,709.60297,717.96747,720.86365,1028.5781,1012.6294,1008.93146,
424,249.117292936906,1.2006029,,,,,,,,,,,196.23459,240.43016,195.96255,270.72647,284.8186,275.42395,
427,280.05939941359804,1.2073222,,,,,,,,,,,218.17009,222.12332,197.45607,347.60062,330.43152,343.8278,
429,265.09428564083765,1.2085,,,,25,,,,,,,399.1759,399.85425,425.4005,518.8652,515.1859,526.72046,
433,235.0614817880946,1.2115139,,,,25,,,,,,,394.52048,401.65808,390.41003,562.08905,555.00336,560.47626,
444,160.0747143867596,1.2776972,,,,,,,,,,,300.84863,298.7258,300.29382,315.54602,267.18298,288.12445,
445,177.10123443213854,1.278975,,,,,,,,,,,1421.2338,1408.6251,1459.9946,1458.3766,1453.2333,1467.7922,
448,434.18748859051533,1.3203806,,,,,,,,,,,359.7111,324.991,350.8382,278.49582,234.25099,250.25197,
451,241.15352378377068,1.3679028,,,,26,,,,,,,2402.4204,2341.5713,2333.9756,1813.9666,1664.7997,1780.579,
452,224.0767169704378,1.3772694,,,,26,,,,,,,1726.565,1730.07,1727.0155,1890.0532,1854.602,1923.627,
455,291.0852233677486,1.3815943,,,,,,,,,,,283.74686,307.48798,281.56497,2.1973417,1.9563732,2.1761503,
454,215.1379823975633,1.3876222,,,,,,,,,,,1197.4982,1153.8162,1168.4235,458.22263,450.99234,469.27258,
462,323.0410780456765,1.4211723,,,,28,,,,,,,440.57,464.92633,450.57196,3.7690706,3.2648277,12.979313,
460,246.14304530342326,1.4276834,,,,,,,,,,,865.18005,1178.7992,865.3686,40.719135,28.865168,20.737972,
465,120.07984354165636,1.5092583,,,,29,,,,,,,5618.7803,5538.1455,5587.0234,3712.8025,3642.8276,3749.004,
464,121.08311129974118,1.5155582,,,,,,,,,,,193.16539,415.25003,420.1962,137.95883,54.168255,161.01944,
466,166.08534737992144,1.5171722,,,,29,,,,,,,22501.035,22374.781,22308.936,16948.186,16910.488,17045.879,
468,167.08848937952342,1.5207528,,,,29,,,,,,,2617.4458,2574.848,2553.0664,1735.9048,1714.4047,1744.1974,
470,197.12742069380917,1.5578834,,,,,,,,,,,511.8993,500.95248,504.5819,653.4882,618.1024,672.5508,
471,177.10121786589784,1.577336,,,,,,,,,,,940.9476,925.0238,845.7108,1305.3083,1266.3022,1287.555,
475,339.1537401763724,1.6144444,,,,,,,,,,,1319.9207,1323.6594,1316.5018,957.6982,996.49585,961.74097,
477,359.17988939071466,1.6269971,,,,,,,,,,,2247.573,2239.115,2271.2043,2481.22,2392.043,2459.9182,
480,490.1902482555976,1.6588832,,,,,,,,,,,547.1466,529.3314,549.7452,6.675034,4.631938,12.5803795,
482,310.12800608376534,1.6672667,,,,32,,,,,,,2380.2124,2417.996,2373.8938,1194.4318,1108.802,1151.8499,
485,328.13776972239083,1.6687971,,,,32,,,,,,,10051.949,10055.837,10129.011,5350.004,5282.534,5399.646,
481,261.1432700902301,1.6702971,,,,32,,,,,,,732.78864,723.4404,725.0046,11.971933,27.04246,172.66493,
489,173.12745269464975,1.7161499,,,,,,,,,,,12.187536,14.531497,20.907219,455.82288,446.66235,488.78,
491,247.12754571640744,1.7436415,,,,,,,,,,,344.23596,321.62265,319.85083,4.1078396,8.617144,2.1635292,
493,298.12727402895985,1.7577223,,,,,,,,,,,511.09604,530.9152,488.53043,20.606499,24.199787,13.5497265,
492,279.1337211004332,1.7687055,,,,,,,,,,,1063.159,1041.1478,1059.503,312.58273,88.20838,354.6814,
494,220.1162663340674,1.8066665,,,,30,2,[M+H]+,,2,494;496,219.10927,1988.3412,2006.332,1996.8624,1272.0028,1379.5635,1404.2792,
495,177.06401555325894,1.808961,,,,,,,,,,,236.43338,255.98781,267.20096,265.44012,284.4258,292.0088,
496,242.09876392939262,1.8269916,,,,30,2,[M+Na]+,,2,494;496,219.10927,1539.8234,1505.966,1507.4604,1016.2572,999.4241,1020.37854,
500,231.16924470835866,1.8752167,,,,,,,,,,,371.99002,394.9858,388.25107,1.832864,0,4.9234858,
503,115.03805997696355,1.9129056,,,,31,3,[M+H-H2O]+,,2,505;503,132.0413,432.85632,425.04654,424.73404,535.525,525.01013,523.14404,
505,155.0304618489018,1.9156054,,,,31,3,[M+Na]+,,2,505;503,132.0413,1050.754,1045.5376,1055.509,1364.276,1351.4315,1403.2407,
506,232.97320906660352,1.9185389,,,,,,,,,,,305.6808,321.33862,314.95325,458.39578,430.0368,442.53888,
509,253.11728746328174,1.953886,,,,,,,,,,,405.17462,402.18393,395.67905,3.3888602,2.022847,1.9206553,
510,206.09138691847272,1.9951972,,,,,,,,,,,873.29297,879.60443,896.9362,762.90027,757.0417,734.6559,
512,211.106637159097,2.0432556,,,,,,,,,,,244.91194,53.92362,79.625755,341.97964,336.376,345.3732,
513,223.1068539069097,2.0939555,,,,,,,,,,,346.48203,343.3567,336.2785,3.7787306,1.8386555,1.9313908,
514,183.11171690838955,2.0948446,,,,33,,,,,,,1291.6321,1285.3218,1297.5806,1033.9856,1037.1724,1047.6936,
518,167.11688084272413,2.1517553,,,,,,,,,,,1473.9985,1459.511,1434.0339,2003.6108,1943.1954,2014.6069,
521,345.1642564050212,2.1802,,,,35,,,,,,,1498.0657,1480.6167,1461.207,831.09924,955.71765,675.9777,
523,329.16943249987213,2.1864111,,,,35,,,,,,,2908.1624,2960.7893,2951.3174,3238.3772,3212.2659,3265.5466,
525,189.0729102648357,2.1959221,,,,35,4,[M+H]+,,2,525;528,188.06518,920.9785,936.44244,919.84717,674.8193,172.3511,695.97833,
526,205.09514406049365,2.205803,,,,35,,,,,,,13371.475,13516.902,13379.934,10120.057,10016.41,10226.029,
527,188.0695779553339,2.2078474,,,,35,,,,,,,7904.621,7975.7627,7956.868,5883.3735,5859.3525,5990.8765,
528,206.09854403029348,2.20855,,,,35,4,[M+NH4]+,,2,525;528,188.06518,1831.2523,1856.2349,1801.5793,1410.6687,1384.3552,1415.5469,
531,203.02132251926966,2.232475,,,,34,,,,,,,490.65054,512.8413,478.71103,541.48376,574.3055,565.0382,
535,145.08321048456733,2.3225029,,,,36,,,,,,,1238.6732,1316.0762,1295.2675,885.35345,878.5745,897.35333,
537,161.10632521391213,2.3240168,,,,36,5,[M+NH4]+,,2,537;539,143.07251,5327.4966,5354.193,5321.1377,3783.424,3845.0305,3905.1213,
538,367.1485704104098,2.324022,,,,36,,,,,,,2545.7566,2612.0442,2558.5366,1507.5304,1514.293,1533.1124,
539,144.07979689383066,2.3272471,,,,36,5,[M+H]+,,2,537;539,143.07251,12501.004,12505.624,12407.078,8847.005,8846.7295,9050.887,
540,162.1093580908827,2.3314166,,,,,,,,,,,511.82858,529.0052,520.3686,119.01163,355.804,41.636124,
543,267.0163466661981,2.3960114,,,,,,,,,,,556.8881,566.72565,522.9428,610.5105,610.4486,616.78546,
544,282.98868117982505,2.400425,,,,,,,,,,,757.7052,725.5811,715.27344,843.11206,817.9818,823.5309,
545,174.1015688525698,2.4435778,,,,,,,,,,,17.221405,39.774857,32.383404,521.997,529.30707,500.4744,
546,293.148361270101,2.4512582,,,,,,,,,,,503.48804,481.01282,448.0227,534.1812,464.1872,492.96243,
548,229.15356047823704,2.506086,,,,,,,,,,,592.65674,176.3134,326.29614,1318.6936,1205.9685,1111.8723,
551,233.12733786261154,2.558986,,,,,,,,,,,445.53607,483.88736,488.58264,379.03256,370.48337,371.33212,
553,323.15883566247965,2.5875833,,,,37,,,,,,,18044.656,18343.531,18344.607,12571.607,12547.735,12771.036,
552,235.08928929660746,2.59255,,,,,,,,,,,106.3522,38.09616,551.2434,246.72545,668.311,301.38507,
554,234.08619276839502,2.6019974,,,,37,,,,,,,5187.265,5271.0303,5267.8975,6027.7686,5896.6396,6046.7246,
557,211.10666903613276,2.7577667,,,,38,,,,,,,15815.583,15888.978,15831.517,15746.545,15685.968,16040.304,
558,212.10991837925556,2.762511,,,,38,,,,,,,1733.7365,835.00305,1772.9326,1763.0558,1727.5931,1789.8596,
559,293.1483244476028,2.7749946,,,,,,,,,,,1937.104,1990.7185,2002.0022,892.3427,911.2605,933.16205,
561,255.0964060573111,2.847397,,,,,,,,,,,1368.3434,1382.3328,1388.2319,1461.9149,1440.1656,1497.7212,
563,229.15350430578067,2.9006777,,,,,,,,,,,4650.638,4664.9272,4667.379,375.95953,37.151825,81.584274,
564,373.15912022355786,2.9485195,,,,,,,,,,,8520.151,8579.166,8529.885,6932.7417,6889.262,7043.558,
566,337.1380581308481,2.9893665,,,,,,,,,,,742.2406,738.83685,707.6349,660.293,687.7586,694.04,
567,343.14871148529147,3.0286276,,,,,,,,,,,165.77916,28.851954,58.77655,525.00165,482.08032,571.1956,
569,206.0225543898495,3.0286915,,,,,,,,,,,876.3148,875.8584,871.09467,580.1105,584.3914,578.8832,
571,122.09546910326088,3.1420667,,,,,,,,,,,0,0,552.53204,0,0,0,
573,217.09616835040245,3.2182999,,,,39,,,,,,,918.3529,893.4367,250.14914,903.53345,909.3372,962.0881,
574,298.09560742819406,3.228975,,,,39,,,,,,,0,2.00742,0,1035.7998,1010.4357,1035.2573,
576,343.14863368169927,3.2843778,,,,,,,,,,,1164.5206,1221.677,1212.3038,40.578903,6.6727567,30.01137,
580,391.20592742396997,3.5638916,,,,,,,,,,,1709.7909,1717.9427,1771.8506,514.45624,395.12027,444.89908,
581,387.13851123857626,3.5745165,,,,,,,,,,,41.962765,40.1669,158.98999,371.68716,338.54037,386.51758,
582,295.16370653379727,3.58509,,,,,,,,,,,249.213,276.29996,256.36044,1.9309831,0,1.8107265,
584,1051.3294119763402,3.6249778,,,,,,,,,,,583.3722,555.81384,600.4039,26.785454,207.26602,212.7589,
585,173.10627820036075,3.6616304,,,,,,,,,,,808.4321,840.45874,820.9647,739.1628,749.9799,761.55164,
586,144.0797642713974,3.6704586,,,,,,,,,,,338.1898,359.20416,345.42087,307.21136,295.30878,290.83508,
589,231.11174734559958,3.745764,,,,,,,,,,,236.32173,258.09064,254.32639,181.80513,191.51025,199.50703,
590,222.07477966318035,3.7712584,,,,,,,,,,,319.09216,362.39417,353.44916,362.57886,362.5073,356.10474,
591,261.1293899958204,3.7739668,,,,,,,,,,,872.0432,716.9821,171.42593,764.9387,771.52893,625.4634,
594,281.14595879383165,3.8147798,,,,,,,,,,,282.62234,225.0427,0,262.229,294.46378,274.94437,
596,265.1529607812393,3.8905442,,,,,,,,,,,715.7425,687.9084,582.1671,209.96002,212.80428,182.72604,
601,196.09339497262275,3.9294946,,,,,,,,,,,6.8451514,404.77875,133.53398,17.53637,260.41064,335.8026,
598,427.20575254091796,3.9472191,,,,,,,,,,,12.589671,244.1349,246.0817,18.278908,21.610704,7.678583,
603,269.11198174052015,3.9530585,,,,,,,,,,,609.51184,607.20514,595.9532,819.5452,833.39215,829.9806,
605,225.12228399570196,3.9721806,,,,,,,,,,,329.64615,327.5472,321.66345,336.28116,332.97015,349.07397,
607,451.7437200209626,4.0066,,,,,,,,,,,335.07852,335.05707,338.80707,7.5700135,14.905874,23.736588,
608,387.1985232379529,4.0089974,,,,,,,,,,,178.86101,161.13281,188.63092,4.5378876,2.083881,4.7807784,
609,452.24568887829963,4.0154915,,,,,,,,,,,164.0183,50.923496,102.74661,1.9456577,6.162196,5.971423,
610,330.20039854012845,4.0271144,,,,,,,,,,,417.09094,407.66122,434.1195,3.9144993,2.218783,4.387865,
611,360.2113939706588,4.0277553,,,,,,,,,,,144.22882,173.2706,161.44409,0,0,0,
613,167.08058153898835,4.0327806,,,,,,,,,,,221.12997,91.032394,214.5654,202.71368,98.34727,205.3077,
614,294.1775824564108,4.0434265,,,,,,,,,,,280.6539,225.90623,0,285.74362,309.8725,273.5788,
616,288.19049330733543,4.080528,,,,,,,,,,,272.64066,276.52005,274.37402,4.237934,8.044886,6.503017,
626,463.155573022645,4.121489,,,,,,,,,,,156.03755,143.76318,153.99602,220.41055,235.69115,204.7877,
617,467.1866334232684,4.1230693,,,,,,,,,,,267.99112,298.9594,276.17233,4.3242373,5.288291,2.1935463,
628,265.1038880425812,4.136266,,,,,,,,,,,116.25012,82.43211,117.11861,213.34976,207.03894,202.66934,
632,314.17365098649856,4.185783,,,,,,,,,,,705.9313,687.4509,703.61633,0,0,0,
633,344.18030370592686,4.2046165,,,,,,,,,,,609.74915,595.8548,606.8764,188.7695,190.06451,176.12378,
634,425.18224384100427,4.256746,,,,,,,,,,,309.434,274.7295,293.70233,0,0,2.6718369,
637,347.1296214594328,4.2567663,,,,,,,,,,,208.082,210.92746,214.09262,59.18389,36.493988,23.86053,
636,531.2749516264959,4.2584414,,,,,,,,,,,177.78642,180.75005,179.88382,4.361972,1.9506798,3.9841468,
638,194.08015022002897,4.2694306,,,,40,6,[M+H-H2O]+,,2,638;639,211.0834,352.39468,345.30713,353.54202,370.0625,365.61316,372.5637,
639,234.07258721551003,4.2741866,,,,40,6,[M+Na]+,,2,638;639,211.0834,779.5529,796.6825,781.2782,1061.443,1065.5404,1067.8326,
644,263.1376970883654,4.3271947,,,,,,,,,,,1856.7069,1870.9845,1829.8218,969.6596,968.1054,980.0181,
646,439.1560726805039,4.348555,,,,,,,,,,,311.49704,306.44873,309.71683,40.17215,12.070101,20.197823,
657,328.2218932870417,4.395108,,,,,,,,,,,768.04034,863.9108,849.5077,21.683666,46.390144,14.479923,
648,283.12516404720265,4.396375,,,,41,,,,,,,385.31454,383.507,374.40567,545.2701,540.3131,544.709,
654,217.03725662185025,4.4020667,,,,41,,,,,,,1088.7673,1127.1241,1123.5488,1382.8247,1370.5237,1355.551,
655,218.0979659459888,4.4021335,,,,41,,,,,,,510.11255,510.01575,541.6475,701.93823,707.18646,737.8102,
656,349.1156933344618,4.4032807,,,,,,,,,,,186.7618,206.66656,213.02118,272.9279,279.3045,300.5347,
659,249.0634857648222,4.4102116,,,,,,,,,,,343.3337,153.65909,328.68723,384.6211,488.69617,490.51715,
